"kabupaten_kota";"total_wisata_alam";"total_wisata_buatan";"total_wisata_budaya";"periode_update"
"Bangkalan";"7";"1";"7";"Tahun 2018"
"Banyuwangi";"17";"8";"23";"Tahun 2018"
"Blitar";"6";"3";"16";"Tahun 2018"
"Bojonegoro";"6";"7";"8";"Tahun 2018"
"Bondowoso";"6";"4";"5";"Tahun 2018"
"Gresik";"10";"1";"9";"Tahun 2018"
"Jember";"10";"6";"2";"Tahun 2018"
"Jombang";"6";"8";"11";"Tahun 2018"
"Kediri";"6";"4";"8";"Tahun 2018"
"Lamongan";"4";"3";"6";"Tahun 2018"
"Lumajang";"14";"6";"6";"Tahun 2018"
"Madiun";"3";"3";"7";"Tahun 2018"
"Magetan";"7";"4";"5";"Tahun 2018"
"Malang";"24";"10";"13";"Tahun 2018"
"Mojokerto";"10";"14";"14";"Tahun 2018"
"Nganjuk";"4";"2";"18";"Tahun 2018"
"Ngawi";"2";"3";"11";"Tahun 2018"
"Pacitan";"8";"2";"5";"Tahun 2018"
"Pamekasan";"4";"1";"7";"Tahun 2018"
"Pasuruan";"11";"13";"6";"Tahun 2018"
"Ponorogo";"17";"5";"6";"Tahun 2018"
"Probolinggo";"8";"5";"6";"Tahun 2018"
"Sampang";"8";"6";"10";"Tahun 2018"
"Sidoarjo";"2";"2";"15";"Tahun 2018"
"Situbondo";"5";"1";"3";"Tahun 2018"
"Sumenep";"7";"6";"12";"Tahun 2018"
"Trenggalek";"9";"5";"15";"Tahun 2018"
"Tuban";"16";"2";"9";"Tahun 2018"
"Tulungagung";"11";"7";"15";"Tahun 2018"
"Kota Batu";"4";"13";"9";"Tahun 2018"
"Kota Blitar";"0";"8";"12";"Tahun 2018"
"Kota Kediri";"7";"6";"9";"Tahun 2018"
"Kota Madiun";"1";"4";"7";"Tahun 2018"
"Kota Malang";"2";"6";"2";"Tahun 2018"
"Kota Mojokerto";"0";"5";"6";"Tahun 2018"
"Kota Pasuruan";"1";"3";"7";"Tahun 2018"
"Kota Probolinggo";"0";"1";"2";"Tahun 2018"
"Kota Surabaya";"2";"12";"11";"Tahun 2018"
"Bangkalan";"10";"5";"5";"Tahun 2019"
"Banyuwangi";"23";"30";"3";"Tahun 2019"
"Blitar";"18";"15";"35";"Tahun 2019"
"Bojonegoro";"17";"10";"2";"Tahun 2019"
"Bondowoso";"14";"3";"7";"Tahun 2019"
"Gresik";"26";"2";"20";"Tahun 2019"
"Jember";"4";"8";"0";"Tahun 2019"
"Jombang";"2";"4";"7";"Tahun 2019"
"Kediri";"8";"16";"15";"Tahun 2019"
"Lamongan";"5";"3";"5";"Tahun 2019"
"Lumajang";"21";"11";"5";"Tahun 2019"
"Madiun";"4";"2";"3";"Tahun 2019"
"Magetan";"6";"6";"0";"Tahun 2019"
"Malang";"60";"14";"17";"Tahun 2019"
"Mojokerto";"5";"1";"7";"Tahun 2019"
"Nganjuk";"3";"3";"16";"Tahun 2019"
"Ngawi";"3";"8";"1";"Tahun 2019"
"Pacitan";"17";"3";"0";"Tahun 2019"
"Pamekasan";"3";"0";"3";"Tahun 2019"
"Pasuruan";"11";"12";"13";"Tahun 2019"
"Ponorogo";"10";"4";"9";"Tahun 2019"
"Probolinggo";"28";"6";"3";"Tahun 2019"
"Sampang";"7";"2";"4";"Tahun 2019"
"Sidoarjo";"1";"17";"15";"Tahun 2019"
"Situbondo";"12";"8";"3";"Tahun 2019"
"Sumenep";"11";"6";"12";"Tahun 2019"
"Trenggalek";"8";"2";"0";"Tahun 2019"
"Tuban";"15";"4";"6";"Tahun 2019"
"Tulungagung";"13";"0";"29";"Tahun 2019"
"Kota Batu";"13";"16";"2";"Tahun 2019"
"Kota Blitar";"3";"7";"4";"Tahun 2019"
"Kota Kediri";"1";"2";"1";"Tahun 2019"
"Kota Madiun";"1";"2";"2";"Tahun 2019"
"Kota Malang";"0";"23";"4";"Tahun 2019"
"Kota Mojokerto";"0";"4";"2";"Tahun 2019"
"Kota Pasuruan";"0";"5";"9";"Tahun 2019"
"Kota Probolinggo";"1";"4";"4";"Tahun 2019"
"Kota Surabaya";"3";"12";"29";"Tahun 2019"
"Bangkalan";"10";"5";"5";"Tahun 2020"
"Banyuwangi";"23";"30";"3";"Tahun 2020"
"Blitar";"18";"15";"35";"Tahun 2020"
"Bojonegoro";"17";"10";"2";"Tahun 2020"
"Bondowoso";"14";"3";"7";"Tahun 2020"
"Gresik";"26";"2";"20";"Tahun 2020"
"Jember";"4";"8";"0";"Tahun 2020"
"Jombang";"2";"4";"7";"Tahun 2020"
"Kediri";"8";"16";"15";"Tahun 2020"
"Lamongan";"5";"3";"5";"Tahun 2020"
"Lumajang";"21";"11";"5";"Tahun 2020"
"Madiun";"4";"2";"3";"Tahun 2020"
"Magetan";"6";"6";"";"Tahun 2020"
"Malang";"60";"14";"17";"Tahun 2020"
"Mojokerto";"5";"1";"7";"Tahun 2020"
"Nganjuk";"3";"3";"16";"Tahun 2020"
"Ngawi";"3";"8";"1";"Tahun 2020"
"Pacitan";"17";"3";"";"Tahun 2020"
"Pamekasan";"3";"";"3";"Tahun 2020"
"Pasuruan";"11";"12";"13";"Tahun 2020"
"Ponorogo";"10";"4";"9";"Tahun 2020"
"Probolinggo";"28";"6";"3";"Tahun 2020"
"Sampang";"7";"2";"4";"Tahun 2020"
"Sidoarjo";"1";"17";"15";"Tahun 2020"
"Situbondo";"12";"8";"3";"Tahun 2020"
"Sumenep";"11";"6";"12";"Tahun 2020"
"Trenggalek";"8";"2";"0";"Tahun 2020"
"Tuban";"15";"4";"6";"Tahun 2020"
"Tulungagung";"13";"0";"29";"Tahun 2020"
"Kota Batu";"13";"16";"2";"Tahun 2020"
"Kota Blitar";"3";"7";"4";"Tahun 2020"
"Kota Kediri";"1";"2";"1";"Tahun 2020"
"Kota Madiun";"1";"2";"2";"Tahun 2020"
"Kota Malang";"0";"23";"4";"Tahun 2020"
"Kota Mojokerto";"0";"4";"2";"Tahun 2020"
"Kota Pasuruan";"0";"5";"9";"Tahun 2020"
"Kota Probolinggo";"1";"4";"4";"Tahun 2020"
"Kota Surabaya";"3";"12";"29";"Tahun 2020"
"Bangkalan";"10";"5";"5";"Tahun 2021"
"Banyuwangi";"33";"30";"3";"Tahun 2021"
"Blitar";"18";"15";"35";"Tahun 2021"
"Bojonegoro";"17";"10";"2";"Tahun 2021"
"Bondowoso";"14";"3";"7";"Tahun 2021"
"Gresik";"26";"2";"20";"Tahun 2021"
"Jember";"4";"8";"0";"Tahun 2021"
"Jombang";"2";"4";"7";"Tahun 2021"
"Kediri";"8";"16";"15";"Tahun 2021"
"Lamongan";"5";"3";"5";"Tahun 2021"
"Lumajang";"21";"11";"5";"Tahun 2021"
"Madiun";"4";"2";"3";"Tahun 2021"
"Magetan";"6";"6";"0";"Tahun 2021"
"Malang";"60";"14";"17";"Tahun 2021"
"Mojokerto";"5";"1";"7";"Tahun 2021"
"Nganjuk";"3";"3";"16";"Tahun 2021"
"Ngawi";"3";"8";"1";"Tahun 2021"
"Pacitan";"17";"3";"0";"Tahun 2021"
"Pamekasan";"3";"0";"3";"Tahun 2021"
"Pasuruan";"11";"12";"13";"Tahun 2021"
"Ponorogo";"10";"4";"9";"Tahun 2021"
"Probolinggo";"28";"6";"3";"Tahun 2021"
"Sampang";"7";"2";"4";"Tahun 2021"
"Sidoarjo";"1";"17";"15";"Tahun 2021"
"Situbondo";"12";"8";"3";"Tahun 2021"
"Sumenep";"11";"6";"12";"Tahun 2021"
"Trenggalek";"8";"2";"0";"Tahun 2021"
"Tuban";"15";"4";"6";"Tahun 2021"
"Tulungagung";"13";"0";"29";"Tahun 2021"
"Kota Batu";"13";"16";"2";"Tahun 2021"
"Kota Blitar";"3";"7";"4";"Tahun 2021"
"Kota Kediri";"1";"2";"1";"Tahun 2021"
"Kota Madiun";"1";"2";"2";"Tahun 2021"
"Kota Malang";"0";"23";"4";"Tahun 2021"
"Kota Mojokerto";"0";"4";"2";"Tahun 2021"
"Kota Pasuruan";"0";"5";"9";"Tahun 2021"
"Kota Probolinggo";"1";"4";"4";"Tahun 2021"
"Kota Surabaya";"3";"12";"29";"Tahun 2021"
"Bangkalan";"15";"2";"8";"Tahun 2022"
"Banyuwangi";"39";"42";"5";"Tahun 2022"
"Blitar";"32";"39";"40";"Tahun 2022"
"Bojonegoro";"18";"17";"6";"Tahun 2022"
"Bondowoso";"20";"12";"7";"Tahun 2022"
"Gresik";"28";"3";"20";"Tahun 2022"
"Jember";"10";"19";"0";"Tahun 2022"
"Jombang";"3";"10";"3";"Tahun 2022"
"Kediri";"16";"27";"15";"Tahun 2022"
"Lamongan";"9";"19";"7";"Tahun 2022"
"Lumajang";"23";"14";"5";"Tahun 2022"
"Madiun";"9";"19";"4";"Tahun 2022"
"Magetan";"7";"19";"18";"Tahun 2022"
"Malang";"56";"34";"14";"Tahun 2022"
"Mojokerto";"13";"15";"7";"Tahun 2022"
"Nganjuk";"3";"4";"16";"Tahun 2022"
"Ngawi";"3";"25";"1";"Tahun 2022"
"Pacitan";"20";"3";"2";"Tahun 2022"
"Pamekasan";"5";"9";"3";"Tahun 2022"
"Pasuruan";"6";"16";"13";"Tahun 2022"
"Ponorogo";"11";"6";"13";"Tahun 2022"
"Probolinggo";"31";"20";"3";"Tahun 2022"
"Sampang";"7";"3";"4";"Tahun 2022"
"Sidoarjo";"1";"35";"16";"Tahun 2022"
"Situbondo";"18";"10";"2";"Tahun 2022"
"Sumenep";"13";"5";"12";"Tahun 2022"
"Trenggalek";"9";"6";"0";"Tahun 2022"
"Tuban";"15";"7";"8";"Tahun 2022"
"Tulungagung";"26";"27";"46";"Tahun 2022"
"Kota Batu";"8";"31";"2";"Tahun 2022"
"Kota Blitar";"3";"9";"4";"Tahun 2022"
"Kota Kediri";"1";"7";"1";"Tahun 2022"
"Kota Madiun";"1";"40";"4";"Tahun 2022"
"Kota Malang";"0";"46";"4";"Tahun 2022"
"Kota Mojokerto";"0";"18";"9";"Tahun 2022"
"Kota Pasuruan";"0";"7";"8";"Tahun 2022"
"Kota Probolinggo";"2";"6";"4";"Tahun 2022"
"Kota Surabaya";"4";"15";"27";"Tahun 2022"
